Brooklyn Rolling Sales File.  All Sales From  September 2016 - August 2017.,,,,,,,,,,,,,,,,,,,,
Sales File as of 09/11/17  Coop Sales File as of 09/08/17.,,,,,,,,,,,,,,,,,,,,
Neighborhood Names and Descriptive Data as of 5/19/2017,,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,4, ,B3,8937 15TH   AVENUE, ,11228,2,0,2," 1,740 "," 1,674 ",1960,1,B3, -   ,2/26/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,87, ,B1,317 BAY 10TH STREET, ,11228,2,0,2," 1,933 "," 1,860 ",1955,1,B1, -   ,5/4/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,87, ,B1,317 BAY 10TH STREET, ,11228,2,0,2," 1,933 "," 1,860 ",1955,1,B1, -   ,2/10/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,91, ,B1,307 BAY 10TH   STREET, ,11228,2,0,2," 1,933 "," 1,860 ",1955,1,B1," 990,000 ",3/10/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,96, ,B3,297 BAY 10TH   STREET, ,11228,2,0,2," 1,740 "," 1,629 ",1955,1,B3," 960,000 ",8/1/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,135, ,B2,284 BAY 11TH STREET, ,11228,2,0,2," 5,800 "," 2,715 ",1901,1,B2, -   ,3/30/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,221, ,B9,8884 16TH   AVENUE, ,11214,2,0,2," 1,760 ", 992 ,1950,1,B9, -   ,10/4/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,297, ,B1,338 BAY 11TH STREET, ,11228,2,0,2," 1,885 "," 1,928 ",1950,1,B1," 940,000 ",1/17/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,311, ,B3,340 BAY 10TH   STREET, ,11228,2,0,2," 1,740 "," 1,876 ",1950,1,B3," 920,000 ",6/1/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,405, ,B1,277 BAY 10TH   STREET, ,11228,2,0,2," 1,901 "," 1,662 ",1950,1,B1, -   ,6/15/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6461,29, ,B1,243 BAY 14TH STREET, ,11214,2,0,2," 1,515 "," 1,280 ",1940,1,B1, -   ,10/18/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6461,53, ,B9,8876 17TH   AVENUE, ,11214,2,0,2," 2,600 "," 1,914 ",1955,1,B9," 949,000 ",1/23/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6461,224, ,B1,250 BAY 14TH   STREET, ,11214,2,0,2," 1,746 "," 1,890 ",1940,1,B1, -   ,3/23/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6461,227, ,B9,8941 16TH AVENUE, ,11214,2,0,2," 2,017 "," 1,240 ",1940,1,B9," 835,000 ",5/22/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6461,276, ,B3,263 BAY 13TH STREET, ,11214,2,0,2," 1,649 ", 928 ,1940,1,B3, -   ,3/10/17
